Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
MC.PA,LVMH,457.95,227082452992,20.968407,3.3691373,2.8101828,-0.047,-0.014,0.13462,11697125376,13.0
OR.PA,L'OREAL,347.7,185596362752,30.393358,5.309856,4.21312,0.01,0.004,0.13909,5913287680,7.2
RMS.PA,HERMES INTL,1656.0,173607698432,38.457966,9.214897,10.849125,0.039,0.018,0.28271,4039624960,18.0
KER.PA,KERING,234.15,28711426048,,1.9523726,1.9564855,,,0.00491,2295000064,3.0
ITX.MC,INDUSTRIA DE DISE...O TEXTIL S.,50.56,157563518976,25.28,7.721442,3.9525266,0.043,0.133,0.15603,5341875200,1.2
STLAM.MI,STELLANTIS,5.531,16025979904,,0.29926416,0.10439833,0.103,,-0.14571,-8941500416,0.0
RACE.MI,FERRARI,273.8,48425156608,30.592178,12.423994,6.77676,0.038,-0.002,0.22348,839140096,3.615
AD.AS,KONINKLIJKE AHOLD DELHAIZE N.V.,40.85,36228935680,16.34,2.5521677,0.3922918,0.009,0.564,0.02451,3464750080,1.24
HEIA.AS,HEINEKEN,66.38,37126860800,19.639051,2.0557446,1.2912343,-0.028,0.075,0.065560006,2138249984,1.9
ABI.BR,AB INBEV,59.16,115111272448,20.191126,1.5322499,1.9405137,0.048,0.633,0.11526,10525875200,1.35
RI.PA,PERNOD RICARD,64.52,16247203840,11.542038,1.0493104,1.6188924,-0.149,-0.18,0.14059,1504625024,2.35
CFR.SW,RICHEMONT N,130.4,76667412480,22.064297,3.757368,3.4942534,0.054,2.951,0.18714,2154749952,3.14
NESN.SW,NESTLE N,75.86,195128606720,21.612535,5.9474716,2.1708696,-0.022,-0.24,0.1005,6238374912,3.1
AIR.PA,AIRBUS SE,160.92,127011725312,24.381819,4.852981,1.7299336,0.051,0.065,0.07111,-1231250048,3.2
