Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
VOW3.DE,VOLKSWAGEN AG                 V,85.38,42800586752.0,6.424379,0.24597743,0.132957,-0.047,-0.019,0.022750001,12736529408.0,5.26
MBG.DE,Mercedes-Benz Group AG        N,50.86,45003005952.0,9.524344,0.5221015,0.34038004,-0.124,-0.443,0.03888,-1038374976.0,3.5
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,75.76,45996036096.0,6.371741,0.4806436,0.34466094,-0.081,0.213,0.05466,2596517888.0,4.4
ADS.DE,adidas AG                     N,133.5,23676082176.0,17.895443,4.12942,0.9542575,0.019,,0.05401,344049984.0,2.8
PAH3.DE,Porsche Automobil Holding SE  I,31.45,9631561728.0,,0.27434185,,,,0.0,-503000000.0,1.91
ZAL.DE,Zalando SE                    I,21.89,5651004928.0,26.695122,2.0162106,0.4577158,0.234,-0.218,0.01723,1001600000.0,0.0
CON.DE,CONTINENTAL AG                I,57.8,11560345600.0,,2.9386342,0.5875353,-0.043,-0.994,-0.00839,1772375040.0,2.7
PUM.DE,PUMA SE                       I,20.06,2953010688.0,,1.676977,0.40473267,-0.316,,-0.088470004,8462500.0,0.0
HFG.DE,HelloFresh SE                 I,3.608,517178240.0,,0.7919227,0.0764966,-0.143,,-0.0137,136850000.0,0.0
BOSS.DE,HUGO BOSS AG                  N,36.62,2527372032.0,10.144044,1.6439217,0.59191287,0.025,0.285,0.05843,461786240.0,0.04
HOT.DE,HOCHTIEF AG                   I,387.8,29178695680.0,32.370617,23.012106,0.76311177,0.041,0.254,0.023599999,1767965824.0,6.6
DUE.DE,DUERR AG                      I,18.02,1247021568.0,6.1712327,0.9348898,0.29916075,-0.097,10.935,0.04877,240384992.0,0.0
FIE.DE,Fielmann Group AG             I,43.1,3620125440.0,19.86175,3.7520673,1.4981991,0.027,0.292,0.07554,,1.15
B4B.DE,B4B.DE,,,,,,,,,,0.0
CEC.DE,CECONOMY AG                   I,4.49,2178642688.0,449.0,3.2773721,0.09428088,0.005,0.241,-8.9999994e-05,580774976.0,0.0
