Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
7203.T,TOYOTA MOTOR CORP,3325.0,43336006107136,11.695804,1.1119014,0.85897624,0.086,-0.423,0.073249996,-52135124992.0,95.0
7267.T,HONDA MOTOR CO,1302.0,5068101779456,10.438547,0.406565,0.23754086,-0.034,-0.412,0.02325,39892123648.0,69.0
9983.T,FAST RETAILING CO LTD,63430.0,19462212288512,45.044918,7.772114,5.5085497,0.148,0.117,0.12694,496032251904.0,500.0
9984.T,SOFTBANK GROUP CORP,3558.0,20276200865792,6.6533275,1.3127631,2.6468775,0.082,,0.48167,-53278248960.0,11.0
7201.T,NISSAN MOTOR CO,348.8,1219313664000,,0.24906689,0.101037085,-0.051,,-0.07675,-859887108096.0,0.0
6758.T,SONY GROUP CORPORATION,3271.0,19431524663296,15.847869,2.3914402,1.4754063,0.005,,-0.0161,-79850749952.0,22.5
7269.T,SUZUKI MOTOR CORP,1919.0,3702277799936,9.460659,1.1207855,0.61113006,0.157,0.205,0.0678,86606372864.0,43.0
7270.T,SUBARU CORPORATION,2559.0,1830781845504,7.0521126,0.6660205,0.39216635,-0.108,,0.022219999,-57424998400.0,124.0
7202.T,ISUZU MOTORS,2342.5,1609854353408,12.706807,1.1072131,0.48270336,0.067,0.326,0.03988,29770500096.0,92.0
7211.T,MITSUBISHI MOTOR CORP,347.3,464809951232,136.73228,0.52115923,0.16747047,0.049,,0.00118,,12.5
2502.T,ASAHI GROUP HLDGS,1576.0,2305478361088,13.64266,0.8426298,0.7878492,0.008,-0.292,0.0,157174743040.0,53.0
2503.T,KIRIN HOLDINGS COMPANY LIMITED,2475.0,2005113634816,13.586956,1.5579883,0.8240093,0.06,,0.06063,75326996480.0,74.0
4911.T,SHISEIDO COMPANY LIMITED,2985.5,1192790589440,,1.9855243,1.2296911,,,-0.041939996,58072498176.0,40.0
8267.T,AEON CO LTD,1934.0,5350979272704,172.37076,4.6292195,0.51384014,,,0.00339,,12.667
3382.T,SEVEN & I HOLDINGS CO LTD,2064.5,4811889573888,21.881294,1.4035252,0.5136433,-0.207,6.225,0.03287,-464384262144.0,45.0
