Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
ULVR.L,UNILEVER PLC ORD 3.5P,4595.5,100409327616,20.607624,742.2184,1.9881854,,,0.18749,6273124864,1.977
DGE.L,DIAGEO PLC ORD 28 101/108P,1400.0,31128330240,17.28395,357.7927,1.5718204,-0.04,0.029,0.12189,958124992,0.83
BATS.L,BRITISH AMERICAN TOBACCO PLC OR,4311.0,93430112256,12.352436,203.53146,3.6481886,0.001,,0.30316,2993750016,2.45
TSCO.L,TESCO PLC ORD 6 1/3P,468.9,29800857600,20.386957,282.2998,0.41867486,0.036,-0.054,0.02142,3272999936,0.143
RR.L,ROLLS-ROYCE HOLDINGS PLC ORD SH,1161.0,96867475456,16.826086,3561.3496,4.5677123,0.166,0.041,0.27543,3590249984,0.095
IMB.L,IMPERIAL BRANDS PLC ORD 10P,3059.0,23916267520,12.285141,510.00333,1.2598119,0.046,-0.249,0.10909,2492750080,1.603
RKT.L,RECKITT BENCKISER GROUP PLC ORD,5096.0,32843550720,10.421268,462.64185,2.312112,,,0.22400999,3006374912,2.122
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,2111.0,35893362688,25.743904,624.4515,0.7791049,0.106,0.756,0.040549997,1647874944,0.659
ABF.L,ASSOCIATED BRITISH FOODS PLC OR,1770.0,12466095104,12.464789,113.9436,0.6406339,-0.038,-0.337,0.052670002,677625024,0.63
MKS.L,MARKS AND SPENCER GROUP PLC ORD,330.6,6691551232,330.6,239.91292,0.43798319,0.225,-0.978,0.0013,450812512,0.038
SBRY.L,SAINSBURY (J) PLC ORD 28 4/7P,333.0,7424766976,18.499998,119.39763,0.22305974,0.028,1.233,0.00994,393375008,0.138
NXT.L,NEXT PLC ORD 10P,12130.0,13982325760,18.378788,835.86,2.1838853,0.099,0.206,0.12380999,667774976,2.45
KGF.L,KINGFISHER PLC ORD 15 5/7P,289.1,4854803968,28.91,80.30556,0.37812945,0.008,0.048,0.01441,867500032,0.124
BRBY.L,BURBERRY GROUP PLC ORD 0.05P,1014.5,3633889024,,408.57834,1.509717,-0.05,,-0.01122,450875008,0.0
IHG.L,INTERCONTINENTAL HOTELS GROUP P,128.9,19280336896,26.522633,-7.090989,3.715617,0.027,0.077,0.14608,673625024,1.845
