Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
AMZN,"Amazon.com, Inc.",205.37,2204630515712,28.642956,5.361301,3.0751245,0.136,0.05,0.108339995,23793125376,0.0
TSLA,"Tesla, Inc.",367.96,1380744822784,343.88782,16.804129,14.560671,-0.031,-0.606,0.040009998,3732624896,0.0
WMT,Walmart Inc.,119.02,948875362304,43.59707,9.520838,1.3305168,0.056,-0.19,0.0307,10554250240,0.94
HD,"Home Depot, Inc. (The)",320.75,319310299136,22.524578,24.933924,1.938939,-0.038,-0.142,0.08596,8622749696,9.23
COST,Costco Wholesale Corporation,972.33,431587557376,50.51065,13.445201,1.5076504,0.092,0.139,0.029860001,6690375168,5.2
PG,Procter & Gamble Company (The),144.28,337143889920,21.374815,6.41444,3.9606986,0.015,-0.054,0.19299999,13253374976,4.177
KO,Coca-Cola Company (The),74.75,321735458816,24.588816,9.995988,6.711071,0.024,0.036,0.2734,-1461250048,2.04
PEP,"Pepsico, Inc.",150.04,205155713024,25.006666,10.05091,2.1842504,0.056,0.675,0.08773,8232750080,5.623
MCD,McDonald's Corporation,308.85,220396732416,25.84519,-122.60818,8.197759,0.097,0.082,0.3185,6296124928,7.17
NKE,"Nike, Inc.",52.37,77527678976,30.62573,5.5022063,1.666796,0.006,-0.321,0.05426,2576624896,1.61
PM,Philip Morris International Inc,163.11,253910007808,22.466942,-25.406542,6.2465563,0.068,,0.27918,8938874880,5.64
DIS,Walt Disney Company (The),99.51,176469737472,14.6553755,1.6292017,1.8436806,0.052,-0.043,0.128,3174500096,1.5
SBUX,Starbucks Corporation,92.55,105442213888,77.125,-12.567899,2.7967494,0.055,-0.625,0.036310002,-1439387520,2.46
LOW,"Lowe's Companies, Inc.",224.63,126006534144,18.940136,-12.707473,1.4603357,0.109,-0.108,0.07712,5399875072,4.75
TGT,Target Corporation,113.26,51290423296,13.931119,3.1728158,0.48950586,-0.015,-0.05,0.03536,2590125056,4.52
EL,"Estee Lauder Companies, Inc. (T",85.92,31079585792,,7.708595,2.1184368,0.056,,-0.012130001,1695000064,1.4
LULU,lululemon athletica inc.,162.82,19100598272,12.288302,3.822784,1.7203716,0.008,-0.185,0.14224,824078400,0.0
MAR,Marriott International,319.76,84731461632,33.658947,-22.543713,12.1357,0.063,0.016,0.37252998,1673250048,2.64
BKNG,Booking Holdings Inc. Common St,4324.04,139380310016,26.109776,-24.7242,5.178152,0.16,0.384,0.20076999,6550750208,38.4
CMG,"Chipotle Mexican Grill, Inc.",33.37,44124413952,29.271929,15.377879,3.6999738,0.049,0.04,0.12878,1011670272,0.0
