Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
TTE.PA,TOTALENERGIES,76.96,164534583296,15.422846,1.6636314,0.90233064,-0.025,-0.228,0.07199,13514500096,3.992
SU.PA,SCHNEIDER ELECTRIC SE,237.15,133331156992,29.755333,5.5097346,3.3206606,0.042,-0.062,0.10368,4048999936,4.2
ENEL.MI,ENEL,9.135,91623366656,15.224999,3.0861487,1.1403601,,,0.052589998,456624992,0.0
IBE.MC,ACCIONES IBERDROLA,19.175,129581678592,22.558823,2.5263503,2.93996,0.005,5.598,0.14259,-1719250048,0.68
DG.PA,VINCI,123.95,68702846976,14.32948,2.2408836,0.90754336,0.052,0.068,0.064770006,7772125184,5.0
SAF.PA,SAFRAN,281.6,116992237568,16.391153,7.9118905,3.7510736,0.125,,0.23010999,-1703874944,3.35
ENI.MI,ENI,23.62,69470060544,30.282053,1.4665341,0.8306934,-0.122,-0.682,0.03119,-9319624704,0.0
EQNR.OL,EQUINOR,394.9,984981700608,21.185623,2.5531232,9.294121,-0.051,-0.273,0.04758,22591875072,1.5
VOW3.DE,VOLKSWAGEN AG                 V,85.38,42800586752,6.424379,0.24597743,0.132957,-0.047,-0.019,0.022750001,12736529408,5.26
STMPA.PA,STMICROELECTRONICS,26.92,23925637120,168.25,1.5552913,2.0275962,0.002,,0.01407,-407375008,0.0
ASM.AS,ASM International N.V.,642.0,31381954560,43.67347,7.834141,9.889688,-0.137,-0.263,0.22806999,420212512,3.25
MT.AS,ARCELORMITTAL SA,42.01,31974893568,11.833802,0.68034357,0.52117115,0.017,,0.05138,-2181750016,0.6
LHA.DE,DEUTSCHE LUFTHANSA AG         V,7.344,8807229440,6.616216,0.75610006,0.22205152,0.032,-0.558,0.03376,-972374976,0.33
ADP.PA,ADP,103.1,10202838016,26.709845,2.3529143,1.521903,0.083,,0.05698,228375008,3.0
