Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
SIE.DE,SIEMENS AG                    N,203.75,159580553216,20.293825,2.4273868,2.0022655,0.043,-0.446,0.09969,7742624768,5.35
AIR.DE,Airbus SE                     A,160.92,126680694784,24.381819,4.852981,1.725425,0.051,0.065,0.07111,-1231250048,3.2
BAS.DE,BASF SE                       N,46.0,40678961152,28.571428,1.2254902,0.6818808,-0.056,,0.027139999,357124992,2.25
DHER.DE,Delivery Hero SE              N,15.29,4588778496,,2.0598142,0.3423976,0.192,,-0.04182,1199699968,0.0
EOAN.DE,E.ON SE                       N,18.48,48311975936,27.999998,2.5084836,0.600574,-0.104,-0.608,0.021559998,-3621025024,0.57
RWE.DE,RWE AG                        I,56.18,40088068096,13.065116,1.1659956,2.183446,-0.423,,0.17052999,-10805749760,1.2
MTX.DE,MTU Aero Engines AG           N,306.5,16485178368,16.208355,3.788815,1.8812255,0.145,1.043,0.11731,-843124992,3.6
HEI.DE,Heidelberg Materials AG       I,171.3,30143412224,16.53475,1.6699,1.4021366,-0.014,0.052,0.09028,1573699968,0.0
DTG.DE,Daimler Truck Holding AG      N,39.9,30547456000,17.124464,1.4174068,0.67093027,-0.107,-0.327,0.043270003,161750000,1.9
LHA.DE,DEUTSCHE LUFTHANSA AG         V,7.344,8807229440,6.616216,0.75610006,0.22205152,0.032,-0.558,0.03376,-972374976,0.33
DHL.DE,DEUTSCHE POST AG              N,43.99,50729992192,14.328991,2.2151167,0.6080327,-0.027,-0.038,0.04196,4941250048,1.9
KRN.DE,KRONES AG                     I,113.2,3576335616,12.344602,1.6821958,0.60487276,0.09,0.115,0.05052,264146000,0.0
FRA.DE,Fraport AG Ffm.Airport.Ser.AG I,73.55,6801073664,15.749465,1.3126428,1.5093707,0.059,-0.521,0.09583,-309950016,1.0
HO.PA,THALES,242.3,49797242880,29.766584,6.2480664,2.2495637,0.071,1.512,0.07564,2076862464,3.9
VNA.DE,Vonovia SE                    N,21.44,18186721280,6.637771,0.66209626,2.7202418,-0.359,,0.55686,3463800064,1.25
