Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
8031.T,MITSUI & CO,6250.0,17748641972224,19.84127,2.1191168,1.2645451,-0.015,-0.204,0.061279997,-749869268992.0,105.0
8058.T,MITSUBISHI CORP,5397.0,19821819330560,30.76967,2.1971214,1.0798918,0.099,0.278,0.039839998,-344219877376.0,105.0
6301.T,KOMATSU,6344.0,5716542226432,14.124143,1.6756904,1.4071083,0.035,-0.115,0.0983,128016121856.0,202.0
8001.T,ITOCHU CORP,2024.0,14175877201920,15.220334,2.2440393,0.9662491,-0.003,-0.124,0.06196,403272859648.0,40.0
8002.T,MARUBENI CORP,5495.0,9002900520960,15.948801,2.1805806,1.0922085,0.077,-0.315,0.061880004,177832493056.0,100.0
5401.T,NIPPON STEEL CORPORATION,592.7,3097657344000,,0.5820599,0.32956076,0.206,-0.425,-0.00605,,28.0
7011.T,MITSUBISHI HEAVY INDUSTRIES,4848.0,16289841020928,59.52118,6.140121,3.0694377,-0.029,0.478,0.053579997,,24.0
6367.T,DAIKIN INDUSTRIES,19370.0,5672094662656,20.703957,1.7989807,1.1754565,0.079,-0.018,0.05666,,310.0
6326.T,KUBOTA CORP,2580.5,2934195093504,15.797367,1.1186473,0.9719447,0.103,0.41,0.06184,128486752256.0,50.0
6594.T,NIDEC CORPORATION,2164.0,2480614670336,20.619343,1.4098886,0.9481366,0.029,1.087,0.04586,55612751872.0,20.0
7012.T,KAWASAKI HEAVY INDUSTRIES,16500.0,2758293061632,28.653296,3.4150157,1.2079964,,,0.0,-12137249792.0,155.0
7013.T,IHI CORPORATION,3769.0,3995714191360,30.863085,7.088464,2.4877126,0.059,-0.224,0.07531,101883748352.0,20.0
9101.T,NIPPON YUSEN KABUSHIKI KAISHA,6140.0,2499069607936,8.481718,0.8743669,1.0310484,-0.046,-0.632,0.094560005,,310.0
9104.T,MITSUI O.S.K. LINES LTD,6976.0,2396021325824,8.340307,0.88636214,1.3294685,0.138,-0.446,0.13097,,265.0
