Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
SHEL.L,SHELL PLC ORD EUR0.07,3434.0,193146355712,15.330358,150.19739,0.72370356,-0.033,3.762,0.06683,22734874624,1.446
BP.L,BP PLC $0.25,562.3,86425280512,Infinity,217.4531,0.46059826,0.036,,0.00029,5708624896,0.33
RIO.L,RIO TINTO PLC ORD 10P,6246.0,101543813120,13.788078,217.62532,1.7617512,0.146,-0.056,0.17291,3495749888,4.02
GLEN.L,GLENCORE PLC ORD USD0.01,520.1,60931801088,260.05,208.9486,0.2461543,0.143,,0.00147,5955874816,0.17
NG.L,NATIONAL GRID PLC ORD 12 204/47,1233.0,61296238592,20.55,163.31125,3.5062485,-0.113,-0.124,0.16428,-3579249920,0.472
BA.L,BAE SYSTEMS PLC ORD 2.5P,2250.0,65590538240,33.088234,571.7916,2.3147423,0.067,0.087,0.07277,1820625024,0.363
AAL.L,ANGLO AMERICAN PLC ORD USD0.623,2867.0,30719559680,,227.94496,1.6563982,0.175,,-0.20171,-591625024,0.23
ANTO.L,ANTOFAGASTA PLC ORD 5P,3143.0,30985476096,31.43,398.52963,3.5944777,0.318,0.417,0.15416001,-29375000,0.646
DCC.L,DCC PLC ORD EUR0.25 (CDI),4510.0,3852581632,34.96124,169.70198,0.22081369,-0.071,,-0.0042,551331008,2.097
MNDI.L,MONDI PLC ORD EUR 0.22,802.8,3539130112,25.0875,86.157936,0.46184656,0.021,,0.02153,2375000,0.283
CRDA.L,CRODA INTERNATIONAL PLC ORD 10.,2554.0,3565149440,58.045456,162.72699,2.0978873,0.039,-0.99,0.03648,65900000,1.11
JMAT.L,JOHNSON MATTHEY PLC ORD 110 49/,1788.0,2995688960,,143.00568,0.2556485,0.008,,-0.01101,-506124992,0.77
SVT.L,SEVERN TRENT PLC ORD 97 17/19P,2958.0,8906188800,28.17143,493.2466,3.3665428,0.18,0.603,0.119219996,-970550016,1.234
IAG.L,INTERNATIONAL CONSOLIDATED AIRL,345.6,15676734464,5.7599998,239.32468,0.472006,-0.008,0.704,0.10062,2206625024,0.098
