Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
BNP.PA,BNP PARIBAS ACT.A,82.13,91721531392,7.9815354,0.78635436,1.9133766,0.097,0.339,0.25502002,,5.16
SAN.MC,BANCO SANTANDER S.A.,9.245,134110257152,11.005953,1.3152653,2.8634012,-0.064,0.253,0.30107,,0.24
INGA.AS,ING GROEP N.V.,21.93,63217262592,10.34434,1.176881,2.5846217,1.182,39.777,0.34032002,,1.086
ISP.MI,INTESA SANPAOLO,4.966,86340182016,8.712281,1.3082192,3.3825731,-0.031,,0.36516997,,0.0
UBSG.SW,UBS GROUP N,29.08,89906610176,15.550802,1.2566319,1.8127795,0.124,0.58,0.15661,,1.1
CS.PA,AXA,37.7,78816460800,8.03838,1.6417,0.93767726,0.023,0.603,0.11655,,2.32
ACA.PA,CREDIT AGRICOLE,15.975,48333643776,7.3279815,0.6952605,1.8199964,-0.604,-0.767,0.26637,,1.13
GLE.PA,SOCIETE GENERALE,60.98,45783576576,8.967647,0.6562635,1.7761406,0.005,0.492,0.23284,,1.61
KBC.BR,KBC,103.45,41036742656,11.904489,1.6153713,3.4412363,0.124,-0.093,0.2992,,5.1
NDA-FI.HE,Nordea Bank Abp,15.325,52299816960,11.02518,1.6165613,4.532832,-0.039,0.031,0.41948003,,0.96
DNB.OL,DNB BANK ASA,289.6,420853809152,10.193594,1.5568218,4.789287,0.053,-0.068,0.49556,,18.0
SEB-A.ST,Skandinaviska Enskilda Banken s,177.95,348753788928,11.532728,1.5159259,4.625934,-0.056,0.008,0.41202998,,8.5
SHB-A.ST,Svenska Handelsbanken ser. A,135.3,271251079168,11.163366,1.3438485,4.7489595,-0.122,-0.128,0.4154,,8.0
SWED-A.ST,Swedbank AB ser A,327.6,368064200704,11.300448,1.6310599,5.3521824,-0.107,-0.037,0.47641,,20.45
