Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,1144.2,196114563072,12.856179,147.36711,3.1019006,0.584,23.979,0.35248002,,0.75
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,90.78,53279870976,12.968571,127.85915,2.860357,0.144,1.464,0.25011998,,0.037
BARC.L,BARCLAYS PLC ORD 25P,373.9,51501977600,8.902381,79.58706,1.9204257,0.141,0.29,0.26743,,0.086
NWG.L,NATWEST GROUP PLC ORD 107.69P,519.6,41463967744,7.7552233,109.251465,2.5963662,0.114,0.131,0.36512002,,0.325
LGEN.L,LEGAL & GENERAL GROUP PLC ORD 2,236.3,13305048064,29.5375,743.0818,1.21021,0.139,,0.053850003,-17395374080.0,0.218
STAN.L,STANDARD CHARTERED PLC ORD USD0,1518.5,33791010816,10.769505,100.95077,1.6673744,0.023,0.002,0.25090998,,0.61
PRU.L,PRUDENTIAL PLC ORD 5P,1062.0,26688358400,9.315789,178.26523,1.8498898,0.145,0.308,0.27573,5727499776.0,0.266
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,8662.0,43311329280,36.548527,220.99194,4.63421,0.046,0.804,0.13364,2053624960.0,1.5
ABDN.L,ABERDEEN GROUP PLC ORD 13 61/63,189.3,3386852352,9.014286,68.76135,2.5256171,0.016,0.976,0.28934,-1488125056.0,0.146
III.L,3I GROUP PLC ORD 73 19/22P,2701.0,27493158912,4.1617875,94.40425,4.153045,0.721,0.606,0.94819,4082874880.0,0.79
IGG.L,IG GROUP HOLDINGS PLC ORD 0.005,1450.0,4831098368,13.809525,256.86447,4.4711094,0.081,0.186,0.46343,,0.482
PHNX.L,PHOENIX GROUP HOLDINGS PLC ORD ,767.0,7680948224,,609.2137,0.4387358,-0.313,,-0.03439,5023750144.0,0.547
MNG.L,M&G PLC,274.1,6528799744,22.84167,208.12453,0.8889978,0.37,,0.04112,-3452875008.0,0.205
