Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
JPM,JP Morgan Chase & Co.,286.56,772861591552.0,14.30654,2.256591,4.5939403,0.025,-0.036,0.3391,,5.8
V,Visa Inc.,301.62,581535268864.0,28.321127,15.055406,14.049799,0.146,0.174,0.50233,22032250880.0,2.52
MA,Mastercard Incorporated,496.32,442934689792.0,30.025408,57.351513,13.507813,0.176,0.242,0.45646998,16269375488.0,3.15
BAC,Bank of America Corporation,47.16,344385683456.0,12.377953,1.2268151,3.205914,0.072,0.212,0.28401,,1.08
WFC,Wells Fargo & Company,77.6,243592953856.0,12.396166,1.4588112,3.0433521,0.05,0.131,0.26659,,1.7
MS,Morgan Stanley,161.47,256391790592.0,15.830393,2.5085838,3.6473167,0.11,0.207,0.23986,,3.925
GS,"Goldman Sachs Group, Inc. (The)",813.53,244000849920.0,15.849016,2.2821646,4.108035,0.152,0.173,0.28917998,,14.0
AXP,American Express Company,295.5,203555667968.0,19.225765,6.0558243,3.039369,0.106,0.166,0.16174999,,3.28
BLK,"BlackRock, Inc.",957.91,148994785280.0,27.09788,2.657856,6.1527414,0.234,-0.317,0.22930999,7034250240.0,20.84
C,"Citigroup, Inc.",109.52,191585419264.0,15.6680975,0.99558204,2.530316,0.044,-0.108,0.18893999,,2.32
SCHW,Charles Schwab Corporation (The,94.66,168204845056.0,20.356989,3.9014137,7.031681,0.189,0.411,0.37005,,1.08
PGR,Progressive Corporation (The),206.0,120696709120.0,10.718002,3.9816766,1.3772346,0.122,0.252,0.12903,11832375296.0,13.9
CB,Chubb Limited,322.58,125856694272.0,12.561525,1.7105012,2.110804,0.055,0.279,0.17291,12136875008.0,3.82
MMC,MMC,,,,,,,,,,0.0
USB,U.S. Bancorp,51.25,79626903552.0,11.093074,1.3653196,3.0214353,0.053,0.247,0.28724,,2.04
PNC,"PNC Financial Services Group, I",201.71,81554153472.0,12.165863,1.4363433,3.6538599,0.096,0.291,0.31075,,6.6
TFC,Truist Financial Corporation,44.16,56491520000.0,11.560209,0.9249717,3.0660255,0.032,0.108,0.28803,,2.08
COF,Capital One Financial Corporati,181.46,112855711744.0,54.005955,1.0482595,3.4429274,0.516,0.222,0.074829996,,2.6
BK,The Bank of New York Mellon Cor,114.94,80153313280.0,15.532433,2.0038354,4.0068645,0.078,0.305,0.27739,,2.0
SPGI,S&P Global Inc.,424.43,128517398528.0,28.99112,4.0742803,8.380113,0.09,0.32,0.29154,4877749760.0,3.84
