Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
SIE.DE,SIEMENS AG                    N,203.75,159580553216,20.293825,2.4273868,2.0022655,0.043,-0.446,0.09969,7742624768.0,5.35
BAYN.DE,Bayer AG                      N,38.385,37710344192,,1.4533716,0.8274349,-0.025,,-0.07943,8533000192.0,0.11
MRK.DE,MERCK KGAA                    I,104.05,45238640640,15.301471,1.5822208,2.1438081,-0.031,-0.522,0.12359,2629499904.0,2.2
FME.DE,Fresenius Medical Care AG     I,37.74,10938899456,11.232143,0.79192555,0.55732226,-0.003,4.2,0.049850002,1556436608.0,1.49
SHL.DE,Siemens Healthineers AG       N,36.55,40819183616,19.338625,2.2262151,1.7522722,-0.015,-0.048,0.090959996,2111500032.0,1.0
FRE.DE,Fresenius SE & Co. KGaA       I,43.69,24607834112,21.312195,1.3214566,1.0963615,0.059,0.824,0.05092,1452125056.0,1.0
SRT.DE,SARTORIUS AG                  I,164.2,11338385408,73.632286,4.1888824,3.2046537,0.023,2.393,0.04378,288649984.0,0.74
EVT.DE,Evotec SE                     I,4.297,763775104,,0.9542528,1.0098464,-0.114,,-0.21020001,-207618880.0,0.0
COK.DE,CANCOM SE                     I,21.0,661822272,38.181816,1.2035074,0.3875271,0.003,-0.143,0.01012,85807752.0,1.0
AFX.DE,Carl Zeiss Meditec AG         I,23.54,2060599424,14.621119,0.97357213,0.9348748,-0.048,,0.05472,,0.55
M12.DE,M1 Kliniken AG                I,14.54,273035712,15.3052635,2.2865229,0.769158,0.094,0.189,0.04997,38983932.0,0.5
DRW3.DE,DRAEGERWERK VZO O.N.,85.4,1602104064,13.30218,1.0436143,0.4685423,0.076,,0.035350002,134075624.0,2.03
PFV.DE,PFEIFFER VACUUM TECHNOLOGY AG I,165.0,1628163712,51.88679,2.9279718,1.9094394,-0.071,-0.256,0.03682,31966750.0,0.0
