Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
4568.T,DAIICHI SANKYO COMPANY LIMITED,2903.0,5324447678464,19.41806,3.1414587,2.5945728,0.151,0.428,0.14843,-105773498368.0,69.0
4519.T,CHUGAI PHARMACEUTICAL CO,8650.0,14235420590080,32.786266,7.027299,11.316445,0.143,0.402,0.34502,259492757504.0,122.0
4503.T,ASTELLAS PHARMA,2382.0,4267139923968,34.24874,2.4202178,2.0708098,0.104,,0.15671,301368999936.0,76.0
4502.T,TAKEDA PHARMACEUTICAL CO LTD,5768.0,9111112515584,81.29669,1.1920947,2.0407555,0.042,3.302,0.025290001,536711266304.0,198.0
4523.T,EISAI CO LTD,4764.0,1342929371136,27.24777,1.5095253,1.6616588,0.018,-0.277,0.0529,18941624320.0,160.0
4543.T,TERUMO CORP,2039.0,3007672221696,23.042152,1.9757062,2.7454965,0.126,-0.076,0.11675,72308752384.0,28.0
4507.T,SHIONOGI & CO,3367.0,2865237065728,16.778791,1.8922917,6.156716,0.235,0.474,0.41863,,9.33
4578.T,OTSUKA HLDGS CO LTD,10720.0,5658213089280,15.649406,1.866383,2.2918024,0.084,-0.559,0.14709,191032754176.0,140.0
4506.T,SUMITOMO PHARMA CO LTD,1854.5,736772816896,4.7618437,2.549926,1.6250131,0.073,-0.835,0.24282,40298999808.0,0.0
4528.T,ONO PHARMACEUTICAL CO,2349.5,1104048029696,20.964577,1.3148594,2.167584,0.042,0.931,0.12252,64341999616.0,80.0
4536.T,SANTEN PHARMACEUTICAL CO,1686.5,542500585472,18.21471,1.9143736,1.883722,,,0.10628,,38.0
4516.T,NIPPON SHINYAKU CO,5013.0,337880973312,10.57082,1.1902331,2.0348513,0.131,-0.172,0.17977,5011999744.0,124.0
