Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
LLY,Eli Lilly and Company,906.7,811513544704,39.52485,30.574945,12.450537,0.426,0.514,0.31667,1951000064,6.0
UNH,UnitedHealth Group Incorporated,275.59,250146373632,20.830688,2.6531181,0.5589026,0.123,-0.999,0.02694,13863249920,8.73
JNJ,Johnson & Johnson,235.37,567217946624,21.319746,6.950243,6.021869,0.091,0.486,0.28456,16633249792,5.14
ABBV,AbbVie Inc.,205.07,362598432768,86.163864,-110.84865,5.9286857,0.1,,0.0691,18337748992,6.65
MRK,"Merck & Company, Inc.",114.18,282297696256,15.684066,5.371155,4.3423066,0.05,-0.193,0.28078,11886749696,3.24
TMO,Thermo Fisher Scientific Inc,474.39,176228417536,26.741264,3.3418105,3.9552116,0.072,0.093,0.15045999,4390875136,1.72
AMGN,Amgen Inc.,347.8,187487715328,24.44132,21.64416,5.1015677,0.086,1.121,0.20982,7501875200,9.52
PFE,"Pfizer, Inc.",26.97,153414959104,19.830881,1.7732922,2.4515407,-0.012,,0.124180004,13430124544,1.72
ISRG,"Intuitive Surgical, Inc.",477.97,169760456704,60.579216,9.522453,16.866917,0.188,0.166,0.28375998,2274837504,0.0
DHR,Danaher Corporation,189.35,133896839168,37.569447,2.5479035,5.4500504,0.046,0.125,0.1471,4554874880,1.28
BMY,Bristol-Myers Squibb Company,57.48,117056512000,16.612717,6.3352804,2.4288607,0.013,13.921,0.14637,11146874880,2.49
GILD,"Gilead Sciences, Inc.",137.21,170335322112,20.237463,7.500684,5.785257,0.047,0.234,0.28903,7540624896,3.16
CVS,CVS Health Corporation,71.48,90937655296,51.424465,1.2079018,0.22743852,0.084,0.766,0.00442,5929500160,2.66
CI,The Cigna Group,262.84,70211354624,11.850315,1.6601295,0.2554069,0.104,-0.093,0.02167,9769875456,6.04
VRTX,Vertex Pharmaceuticals Incorpor,454.085,115353116672,29.678757,6.178868,9.610424,0.095,0.329,0.32939997,2573112576,0.0
REGN,"Regeneron Pharmaceuticals, Inc.",732.87,77478879232,17.668034,2.4056287,5.401898,0.025,-0.026,0.31409,3258374912,3.52
ZTS,Zoetis Inc.,115.67,50974982144,19.246256,14.755708,5.384492,0.03,0.061,0.28235,1790875008,2.0
SYK,Stryker Corporation,335.67,128457113600,40.008343,5.726789,5.114553,0.114,0.559,0.12923999,4170125056,3.4
BDX,"Becton, Dickinson and Company",154.13,55840546816,25.18464,1.7359133,2.5470054,0.016,0.286,0.08014,3105250048,4.17
BSX,Boston Scientific Corporation,69.48,103100366848,35.814434,4.251882,5.136015,0.159,0.185,0.14437,3241750016,0.0
