Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
PLD,"Prologis, Inc.",128.01,118992838656,35.957863,2.2387197,12.944334,0.04,0.063,0.36205003,4769768448,4.04
AMT,American Tower Corporation (REI,176.79,82763636736,32.79963,22.569895,7.775176,0.075,-0.332,0.23763001,4508987392,6.8
EQIX,"Equinix, Inc.",959.16,94242193408,69.909615,6.655472,10.177342,0.081,,0.14579001,2833250048,18.76
CCI,Crown Castle Inc.,82.36,35914760192,32.68254,-21.910082,8.422786,-0.043,,0.10413,1372249984,4.753
PSA,Public Storage,265.78,46655623168,29.498335,9.522752,9.652121,0.033,-0.193,0.36915,2376998656,12.0
O,Realty Income Corporation,60.95,57035485184,52.09402,1.4433893,9.897343,0.11,0.412,0.18370001,2675889408,3.219
SPG,"Simon Property Group, Inc.",184.52,59960381440,13.021877,11.612335,9.42106,0.132,3.581,0.7271,2338524672,8.55
WELL,Welltower Inc.,195.94,136717631488,138.96454,3.239374,12.614615,0.413,-0.263,0.08644,2285443328,2.89
DLR,"Digital Realty Trust, Inc.",173.3,60621111296,48.272984,2.6826627,9.969421,0.171,-0.534,0.2152,1958439680,4.88
VICI,VICI Properties Inc.,26.83,28680974336,10.279694,1.0316057,7.159297,0.038,-0.034,0.69281,1466810752,1.765
