Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
ASML.AS,ASML HOLDING,1128.2,437908209664,45.657627,22.171125,13.405093,0.049,0.072,0.29416,10854937600.0,7.5
SAP.DE,SAP SE                        I,153.82,179593936896,25.175123,4.0280724,4.88027,0.033,0.05,0.19459,8479124992.0,2.5
CAP.PA,CAPGEMINI,98.58,16565618688,10.797371,1.5269754,0.7373968,0.037,0.093,0.07127,,3.4
DSY.PA,DASSAULT SYSTEMES,17.2,22583508992,19.111113,2.5837464,3.6215897,-0.042,0.066,0.1918,1257887488.0,0.0
STMPA.PA,STMICROELECTRONICS,26.92,23925637120,168.25,1.5552913,2.0275962,0.002,,0.01407,-407375008.0,0.0
NOKIA.HE,Nokia Corporation,6.916,38608805888,62.872726,1.8413205,1.941214,0.024,-0.408,0.03273,499124992.0,0.14
ERIC-B.ST,"Ericsson, Telefonab. L M ser. B",106.1,353758117888,12.467685,3.2288496,1.494662,-0.05,0.792,0.12011,18859999232.0,3.0
ADYEN.AS,ADYEN,863.5,27231934464,25.707056,5.1522713,11.459506,0.169,0.119,0.44712,534254016.0,0.0
ASM.AS,ASM International N.V.,642.0,31381954560,43.67347,7.834141,9.889688,-0.137,-0.263,0.22806999,420212512.0,3.25
LOGN.SW,LOGITECH N,69.9,10265351168,18.492064,5.5380216,2.1540554,0.061,0.28,0.14936,681839616.0,1.43
TEMN.SW,TEMENOS N,73.5,5070334464,23.18612,13.0530815,4.648144,-0.013,-0.418,0.25724,485197760.0,1.766
AMS.SW,AMS-OSRAM,7.9,786632896,,0.90192896,0.2367237,-0.007,,-0.03912,273249984.0,0.0
BESI.AS,BE Semiconductor Industries N.V,178.5,14058933248,107.53012,33.987053,23.775064,0.084,-0.306,0.22262,104007248.0,1.58
SOON.SW,SONOVA N,178.5,10640503808,20.493685,4.384026,2.765491,-0.01,-0.084,0.13525,740124992.0,4.4
ATO.PA,ATOS,38.785,751584576,,-0.95668584,0.09393633,-0.137,,-0.17548001,485750016.0,0.0
