Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
SAP.DE,SAP SE                        I,153.82,179593936896,25.175123,4.0280724,4.88027,0.033,0.05,0.19459,8479124992.0,2.5
IFX.DE,INFINEON TECHNOLOGIES AG      N,37.645,49019052032,48.88961,2.9112213,3.2898693,0.07,0.042,0.06879,1671250048.0,0.35
AIXA.DE,AIXTRON SE                    N,33.09,3732083968,43.539474,4.100372,6.705724,-0.175,-0.097,0.15313,165355376.0,0.15
NEM.DE,Nemetschek SE                 I,69.3,7997830144,39.152546,8.615118,6.713915,0.118,0.252,0.18236,320204992.0,0.68
GFT.DE,GFT Technologies SE           I,17.7,465969312,13.208956,1.7227955,0.524571,0.034,-0.143,0.03703,41675800.0,0.5
S92.DE,SMA Solar Technology AG       I,39.3,1363709952,,3.390269,0.8496418,0.498,,-0.18504,301317248.0,0.0
UTDI.DE,UNITED INTERNET AG            N,27.2,4701174784,37.260273,1.0253704,0.73624396,,,0.02049,266276496.0,0.4
DTE.DE,DEUTSCHE TELEKOM AG           N,31.62,152978276352,16.050762,2.4607003,1.2558143,0.025,-0.582,0.07888,14988999680.0,1.0
DRW3.DE,DRAEGERWERK VZO O.N.,85.4,1602104064,13.30218,1.0436143,0.4685423,0.076,,0.035350002,134075624.0,2.03
AFX.DE,Carl Zeiss Meditec AG         I,23.54,2060599424,14.621119,0.97357213,0.9348748,-0.048,,0.05472,,0.55
JEN.DE,JENOPTIK AG                   N,24.94,1427518592,20.957983,1.4716469,1.3545451,-0.071,-0.196,0.0689,72475376.0,0.38
NDX1.DE,Nordex SE                     I,45.44,10744304640,40.212387,8.410143,1.4224181,0.158,7.461,0.03633,683935488.0,0.0
QIA.DE,Qiagen N.V.                   A,34.805,7205307392,19.775568,2.200039,3.4475172,0.037,0.219,0.20329,257098000.0,0.263
