Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
6758.T,SONY GROUP CORPORATION,3271.0,19431524663296,15.847869,2.3914402,1.4754063,0.005,,-0.0161,-79850749952.0,22.5
8035.T,TOKYO ELECTRON,39330.0,17966619951104,33.444733,8.990944,7.526493,-0.157,-0.244,0.21077,289615872000.0,591.0
6861.T,KEYENCE CORP,59080.0,14328388386816,35.08772,4.2958636,12.809672,,,0.0,,450.0
6501.T,HITACHI,4849.0,21871751856128,28.985596,3.4498703,2.1288564,0.101,0.213,0.08015,,45.0
7974.T,NINTENDO CO LTD,9734.0,11221637005312,30.674694,3.8090587,5.306775,0.863,0.244,0.18938999,,127.0
6981.T,MURATA MANUFACTURING CO,3748.0,6822470090752,36.363636,2.6095426,3.8283424,0.043,-0.641,0.106529996,170220879872.0,60.0
6954.T,FANUC CORPORATION,5936.0,5539233792000,35.21177,3.085454,6.6304226,0.095,0.127,0.19348,,101.21
6702.T,FUJITSU,3340.0,5806216445952,20.533628,2.934146,1.6158478,-0.043,0.602,0.13232,324066738176.0,29.0
6701.T,NEC CORP,4124.0,5488090021888,23.419842,2.6605318,1.5573738,,,0.06978,,30.0
6503.T,MITSUBISHI ELECTRIC CORP,5483.0,11220128104448,28.735392,2.7020047,1.9762897,0.049,-0.149,0.06592,252386869248.0,55.0
6723.T,RENESAS ELECTRONICS CORP,2505.5,4543309938688,,1.8597004,3.4387438,0.201,-0.09,-0.03918,244618493952.0,28.0
6920.T,LASERTEC CORP,35090.0,3162051969024,37.453304,13.943571,12.609522,-0.197,-0.22,0.34724998,85710127104.0,346.0
7751.T,CANON INC,4305.0,3766638346240,11.723218,1.083244,0.81445634,0.038,,0.0718,165998116864.0,160.0
7733.T,OLYMPUS CORPORATION,1374.0,1512866185216,15.92305,1.9562562,1.5320071,0.039,-0.469,0.0859,11210500096.0,20.0
6902.T,DENSO CORP,1915.5,5151592546304,15.060146,0.9748513,0.69910336,0.05,0.256,0.051570002,54976000000.0,64.0
