Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
REL.L,RELX PLC ORD 14 51/116P,2494.0,44722548736,22.267857,1916.9869,4.663457,0.012,0.17,0.21533,2157625088.0,0.675
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,843.6,7809789440,22.8,1118.8329,3.1077554,0.077,0.169,0.14684,471124992.0,0.219
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,473.2,3900705280,14.339395,728.00006,6.329231,0.05,0.109,0.47687998,253575008.0,0.109
HLMA.L,HALMA PLC ORD 10P,3618.0,13665245184,39.326088,687.31006,5.667404,0.152,0.37,0.14390999,337950016.0,0.238
AV.L,AVIVA PLC ORD 32 17/19P,610.0,18587877376,23.461538,173.93784,0.6481807,0.371,9.795,0.03222,-910249984.0,0.393
KAY.L,"Albion KAY VCT PLC"",",19.0,105879408,9.5,87.15597,,,,,,0.01
TRN.L,TRAINLINE PLC ORD 1P,212.8,798192128,12.517647,349.42526,1.7827493,0.025,0.557,0.16336,67848128.0,0.0
SGRO.L,SEGRO PLC ORD 10P,693.8,9384999936,16.921951,76.434944,12.926997,0.078,-0.186,0.75895,207124992.0,0.311
SBRY.L,SAINSBURY (J) PLC ORD 28 4/7P,333.0,7424766976,18.499998,119.39763,0.22305974,0.028,1.233,0.00994,393375008.0,0.138
EXPN.L,EXPERIAN PLC ORD USD0.10,2647.0,23930363904,24.063635,597.99603,3.0044398,0.122,0.36,0.17125,1316749952.0,0.645
RMV.L,RIGHTMOVE PLC ORD 0.1P,432.0,3280399360,15.428572,4000.0,7.7162447,0.079,0.168,0.51058996,191868128.0,0.106
WTB.L,WHITBREAD PLC ORD 76 122/153P,2303.0,3844663552,16.104897,126.455086,1.3266152,-0.019,0.021,0.0865,313600000.0,0.97
OCDO.L,OCADO GROUP PLC ORD 2P,191.65,1593041024,,101.67108,1.1529573,0.143,,0.29326,45562500.0,0.0
