Ticker,Company Name,Current_Price,Market_Cap,Trailing_PE,Price_to_Book,Price_to_Sales,Revenue_Growth,Earnings_Growth,Profit_Margin,Free_Cash_Flow,Div_2025
NVDA,NVIDIA Corporation,172.93,4203063541760.0,35.291836,26.719713,19.464214,0.732,0.956,0.55603004,58128998400.0,0.04
AAPL,Apple Inc.,247.99,3644938780672.0,31.351456,41.345448,8.367301,0.157,0.183,0.27037,106312753152.0,1.03
MSFT,Microsoft Corporation,381.85,2838053519360.0,23.92544,7.257436,9.291293,0.167,0.598,0.39044,53640626176.0,3.48
GOOGL,Alphabet Inc.,301.0,3641197199360.0,27.844587,8.761971,9.038907,0.18,0.311,0.32810003,38088376320.0,0.83
AMZN,"Amazon.com, Inc.",205.37,2204630515712.0,28.642956,5.361301,3.0751245,0.136,0.05,0.108339995,23793125376.0,0.0
META,"Meta Platforms, Inc.",593.66,1501695836160.0,25.25138,6.9137154,7.472388,0.238,0.107,0.30084,23432374272.0,2.1
AVGO,Broadcom Inc.,310.51,1472212893696.0,60.64649,5.2432413,21.560776,0.164,1.881,0.36571997,25503750144.0,2.48
ORCL,Oracle Corporation,149.68,430486552576.0,26.87253,12.830446,6.7183743,0.217,0.245,0.25298,-22298499072.0,2.0
CRM,"Salesforce, Inc.",195.38,183071064064.0,25.048717,3.069021,4.408695,0.121,0.179,0.17958,16366999552.0,1.664
ADBE,Adobe Inc.,248.15,101865570304.0,14.452533,8.89905,4.16577,0.12,0.111,0.29477,9292624896.0,0.0
AMD,"Advanced Micro Devices, Inc.",201.33,328250621952.0,76.84351,5.2090554,9.476331,0.341,2.171,0.12515001,4587250176.0,0.0
INTC,Intel Corporation,43.87,219138473984.0,,1.9170599,4.1461883,-0.041,,-0.00505,-4504500224.0,0.0
QCOM,QUALCOMM Incorporated,129.9,138739056640.0,26.189514,6.0466413,3.0922296,0.05,-0.018,0.11958,10423374848.0,3.52
IBM,International Business Machines,241.77,226879176704.0,21.683409,6.9384418,3.359431,0.122,0.899,0.15685001,13156625408.0,6.71
TXN,Texas Instruments Incorporated,187.19,170429644800.0,34.34679,10.433063,9.638596,0.104,-0.032,0.28283,-300624992.0,5.5
NOW,"ServiceNow, Inc.",110.38,116466679808.0,66.09581,8.916714,8.771402,0.207,0.034,0.13165,4951625216.0,0.0
INTU,Intuit Inc.,455.56,126770536448.0,29.678175,6.6341434,6.3004093,0.41,-0.185,0.2157,5301374976.0,4.48
UBER,"Uber Technologies, Inc.",73.89,153530892288.0,15.621564,5.6503787,2.9515522,0.201,-0.956,0.19326,6346124800.0,0.0
ABNB,"Airbnb, Inc.",128.52,77049536512.0,31.811882,9.436124,6.294382,0.12,-0.237,0.20513001,3543000064.0,0.0
PANW,"Palo Alto Networks, Inc.",162.95,132967194624.0,91.03352,12.195943,13.439854,0.149,0.605,0.12956999,2859225088.0,0.0
PLTR,Palantir Technologies Inc.,150.68,360377679872.0,239.17459,48.779537,80.52331,0.7,6.476,0.36310002,1260918400.0,0.0
SNOW,Snowflake Inc.,168.02,57496444928.0,,30.030386,12.275215,0.301,,-0.28429002,1587485568.0,0.0
CRWD,"CrowdStrike Holdings, Inc.",409.0,103728168960.0,,23.400846,21.556124,0.233,,-0.033770002,1604615040.0,0.0
MDB,"MongoDB, Inc.",261.16,21256271872.0,,7.1201506,8.627444,0.267,0.022,-0.02888,463322496.0,0.0
SQ,SQ,,,,,,,,,,0.0
SHOP,Shopify Inc.,116.78,152407670784.0,125.56989,11.301655,13.188619,0.306,-0.423,0.106520005,1286249984.0,0.0
ZM,"Zoom Communications, Inc.",76.61,22684295168.0,12.3964405,2.308295,4.659144,0.053,0.915,0.39027,1963544576.0,0.0
TEAM,Atlassian Corporation,73.73,19445852160.0,,12.30474,3.3760583,0.233,,-0.03285,1523782144.0,0.0
WDAY,"Workday, Inc.",135.96,35757481984.0,52.697678,4.513944,3.743455,0.145,0.629,0.07255,3012750080.0,0.0
ADSK,"Autodesk, Inc.",247.99,52573880320.0,47.41683,17.265892,7.295848,0.194,0.063,0.15597999,2787000064.0,0.0
