Date,Close,High,Low,Open,Volume
2025-03-20,54900.0,55900.0,54700.0,55700.0,37047
2025-03-21,55200.0,56800.0,55000.0,55400.0,203576
2025-03-24,55900.0,57300.0,55700.0,56000.0,63244
2025-03-25,56700.0,57400.0,55700.0,56200.0,40656
2025-03-26,56600.0,57500.0,56100.0,57400.0,30506
2025-03-27,58200.0,58700.0,56300.0,56500.0,67250
2025-03-28,57500.0,58600.0,57300.0,58600.0,45716
2025-03-31,56300.0,57400.0,56000.0,57000.0,55225
2025-04-01,59300.0,60000.0,56000.0,56900.0,79866
2025-04-02,59600.0,60200.0,58400.0,59900.0,49281
2025-04-03,58900.0,59800.0,58100.0,58100.0,42453
2025-04-04,60400.0,61200.0,57800.0,57800.0,92662
2025-04-07,58500.0,59700.0,58100.0,59600.0,50404
2025-04-08,57500.0,60000.0,57100.0,59000.0,55309
2025-04-09,53900.0,57100.0,53700.0,57100.0,75602
2025-04-10,56700.0,56900.0,53900.0,55500.0,84844
2025-04-11,57600.0,58000.0,55400.0,55800.0,37981
2025-04-14,56400.0,57900.0,56200.0,57700.0,42923
2025-04-15,56600.0,56700.0,55800.0,56200.0,49850
2025-04-16,55100.0,56600.0,55000.0,56100.0,50522
2025-04-17,57000.0,57600.0,55000.0,55500.0,90785
2025-04-18,56300.0,58500.0,55600.0,57100.0,85431
2025-04-21,55500.0,56700.0,55100.0,55800.0,44075
2025-04-22,57000.0,57300.0,55100.0,55500.0,75104
2025-04-23,56800.0,57500.0,56000.0,57500.0,52340
2025-04-24,58700.0,58700.0,56500.0,56500.0,61443
2025-04-25,58800.0,59100.0,57800.0,58200.0,54654
2025-04-28,59200.0,60100.0,58200.0,58800.0,43323
2025-04-29,60500.0,61000.0,59400.0,59400.0,79974
2025-04-30,61700.0,62300.0,60100.0,60200.0,94697
2025-05-02,62500.0,62500.0,59500.0,61700.0,76902
2025-05-07,60600.0,62100.0,59600.0,62000.0,72711
2025-05-08,55800.0,60800.0,55400.0,60100.0,220049
2025-05-09,55600.0,56500.0,54700.0,56300.0,81827
2025-05-12,56100.0,56900.0,55500.0,56900.0,76773
2025-05-13,56200.0,56600.0,55600.0,56300.0,79436
2025-05-14,57800.0,58200.0,55500.0,56500.0,86124
2025-05-15,57600.0,57800.0,56700.0,57800.0,48825
2025-05-16,55900.0,57700.0,55800.0,56900.0,88242
2025-05-19,53900.0,56000.0,53700.0,56000.0,97824
2025-05-20,54200.0,54800.0,53900.0,54500.0,69453
2025-05-21,54600.0,54900.0,54000.0,54200.0,59610
2025-05-22,54800.0,54800.0,53900.0,54200.0,64563
2025-05-23,55300.0,55700.0,54100.0,54400.0,60560
2025-05-26,55300.0,56300.0,55300.0,56000.0,30117
2025-05-27,56200.0,56400.0,55300.0,55300.0,28981
2025-05-28,60200.0,60800.0,56400.0,56800.0,203880
2025-05-29,60700.0,60800.0,58800.0,60000.0,56297
2025-05-30,61500.0,61800.0,59900.0,59900.0,94876
2025-06-02,60400.0,61900.0,60200.0,60800.0,45804
2025-06-04,64900.0,66000.0,61000.0,61300.0,203082
2025-06-05,66200.0,66300.0,64700.0,65100.0,91576
2025-06-09,68800.0,69600.0,67700.0,68100.0,129900
2025-06-10,77300.0,79000.0,68900.0,69300.0,422633
2025-06-11,77500.0,80300.0,76800.0,80000.0,211223
2025-06-12,76100.0,79600.0,76100.0,77800.0,154490
2025-06-13,77500.0,79500.0,76600.0,78900.0,112007
2025-06-16,76600.0,78300.0,75600.0,76900.0,92141
2025-06-17,75800.0,77400.0,74300.0,76900.0,100239
2025-06-18,75500.0,76500.0,74500.0,75000.0,61944
2025-06-19,79800.0,80900.0,76500.0,77200.0,167153
2025-06-20,79700.0,81900.0,78300.0,81900.0,130757
2025-06-23,81100.0,81500.0,77500.0,77800.0,75462
2025-06-24,81800.0,82000.0,79600.0,80900.0,90284
2025-06-25,80900.0,82200.0,80300.0,81500.0,45515
2025-06-26,77700.0,80800.0,75500.0,80200.0,86264
2025-06-27,75500.0,78200.0,74400.0,77800.0,81532
2025-06-30,74900.0,78000.0,74600.0,76300.0,71640
2025-07-01,75300.0,76100.0,74800.0,75000.0,72336
2025-07-02,71200.0,75800.0,69000.0,75000.0,210946
2025-07-03,72300.0,72500.0,70300.0,71500.0,97958
2025-07-04,69500.0,73000.0,69400.0,72700.0,71204
2025-07-07,68600.0,70400.0,67600.0,69300.0,76959
2025-07-08,69600.0,69800.0,68100.0,69300.0,71536
2025-07-09,69900.0,70900.0,69000.0,70000.0,53355
2025-07-10,69700.0,70600.0,68000.0,70000.0,96512
2025-07-11,69000.0,71000.0,68600.0,70100.0,55527
2025-07-14,70400.0,70700.0,68800.0,69200.0,45547
2025-07-15,69900.0,70800.0,69700.0,70300.0,48881
2025-07-16,69500.0,70300.0,68800.0,70300.0,51839
