Date,Close,High,Low,Open,Volume
2025-03-20,9763.5986328125,9983.49950292089,9763.5986328125,9805.579708015011,406251
2025-03-21,9809.5791015625,9811.578200625383,9695.63045497822,9721.618742795688,1047782
2025-03-24,9783.5908203125,9871.551179138358,9675.6394708444,9853.559287560342,291656
2025-03-25,9791.5869140625,9849.56078513392,9747.60673600832,9809.578805084666,363904
2025-03-26,9981.501953125,9981.501953125,9807.580328866663,9851.5605097136,581091
2025-03-27,11030.029296875,11070.011278920763,10500.268034768633,10875.099116447665,553195
2025-03-28,10985.048828125,11075.008281676524,10790.136678763363,11000.042070383586,446035
2025-03-31,11080.005859375,11082.848328176316,10915.080197056834,10945.066681114682,596637
2025-04-01,11099.9970703125,11249.929493594524,11025.03085867149,11149.974544739842,473042
2025-04-02,11239.93359375,11254.926835538017,11040.023703243109,11040.023703243109,295097
2025-04-03,11449.83984375,11529.80380599356,11099.997508934417,11114.990751855084,315672
2025-04-04,11224.9404296875,11504.814278335096,11114.989989147374,11479.825541848704,454964
2025-04-07,10665.193359375,11040.024428706362,10585.229397917643,10910.082991338157,1066008
2025-04-08,11010.0380859375,11035.026824216977,10605.220525809975,10705.175478927882,921236
2025-04-09,10960.060546875,11085.00423755985,10760.15064177924,10840.114603817545,704520
2025-04-10,11414.85546875,11499.817177580451,10925.07620608034,11094.999623741243,500056
2025-04-11,11549.7939453125,11609.766912575049,11404.859274428007,11424.850263515524,828725
2025-04-14,11724.7158203125,11779.6910436814,11589.776635679747,11654.74735420663,316425
2025-04-15,11954.6123046875,12049.569509448813,11751.116125561162,11824.670866593071,698107
2025-04-16,11994.59375,11994.59375,11839.663580729168,11949.6140234375,574207
2025-04-17,12044.5712890625,12084.553268445281,11844.6613921486,11944.61634060555,172144
2025-04-22,12124.53515625,12149.523893175496,11959.609492541736,12069.559935013913,1183316
2025-04-23,11834.666015625,12219.492571031726,11784.688540896854,12174.512843776394,1377163
2025-04-24,11884.6435546875,11919.62778718658,11774.693109690392,11799.681847189735,612838
2025-04-25,12034.576171875,12034.576171875,11879.645996904848,11934.621220281353,1295080
2025-04-28,11924.6259765625,12114.540388594929,11924.6259765625,12109.542640909865,296981
2025-04-29,12079.5556640625,12094.548906508584,11884.643512263394,11964.607471975847,215248
2025-04-30,12324.4462890625,12324.4462890625,12069.56114683128,12149.525113021467,749075
2025-05-01,12304.4541015625,12339.438333370354,12199.501406138937,12289.460859359133,94084
2025-05-02,12364.4267578125,12429.397472384677,12264.471812316846,12389.415494186414,190329
2025-05-06,12444.390625,12509.361339106425,12389.415405371485,12449.388372238955,1366518
2025-05-07,12289.4609375,12479.375339950182,12124.535272214314,12479.375339950182,1375154
2025-05-08,12344.4365234375,12539.348679070723,12234.48607667004,12364.427513758856,447811
2025-05-09,12219.4921875,12379.420101610429,12014.584547546012,12344.435870398773,415989
2025-05-12,11949.6142578125,12309.452077370215,11864.652550416928,12309.452077370215,255529
2025-05-13,12194.50390625,12209.497148757684,11856.071477663947,11904.634551101435,253731
2025-05-14,12354.4326171875,12389.416851944909,12204.500182512895,12239.484417270301,271597
2025-05-15,12574.3330078125,12574.3330078125,12309.452384039027,12369.425355459434,903679
2025-05-16,12704.2734375,12704.2734375,12479.374812524586,12694.277943056648,327164
2025-05-19,12704.2734375,12704.2734375,12491.869180578777,12659.293712504917,270566
2025-05-20,12814.224609375,12824.220104390113,12689.280921686086,12714.26965922387,223177
2025-05-21,12789.236328125,12815.311491002438,12639.303897549093,12774.24308506741,287968
2025-05-22,12889.1904296875,12899.185924398387,12679.285040758894,12679.285040758894,155660
2025-05-23,12889.1904296875,12954.161145308259,12724.264766957882,12924.1746611756,426821
2025-05-27,12884.193359375,12964.157321264061,12829.21813557627,12954.161826027928,296465
2025-05-28,12789.236328125,12939.16875870091,12789.236328125,12904.184524899863,182605
2025-05-29,12789.236328125,12869.200291098818,12674.288131350137,12829.21830961191,347277
2025-05-30,12859.203125,12889.1896072192,12784.067074142558,12804.227907598135,594184
2025-06-02,12964.1572265625,13014.134702378084,12868.404482614653,12914.179750746915,159169
2025-06-03,12904.18359375,13094.09799210883,12869.199362473373,13049.118266181738,172590
2025-06-04,12884.193359375,12934.170835555664,12789.23615463174,12909.182097465331,446020
2025-06-05,12929.1728515625,12929.1728515625,12794.233668341709,12909.181861455716,124096
2025-06-06,12904.18359375,12944.165572351858,12864.20161514814,12924.17458305093,83962
2025-06-09,12834.2158203125,12969.15500533915,12809.227082344602,12949.164014964832,90263
