Ticker,Name,Sector,Region,P/E Ratio,P/B Ratio,P/S Ratio,Revenue Growth (%),Earnings Growth (%),Profit Margin (%),Free Cash Flow,Div_2025,Momentum 6M (%),Momentum 12M (%),Value Score,Growth Score,Momentum Score,Overall AI Score
010130.KS,KOREA ZINC,Materials,South Korea,,,1.74,39.8,0.0,4.67,-1601723039744.0,0.0,80.92,90.32,4,3,1,2
NEM,Newmont Corporation,Materials,US,14.99,3.08,4.61,20.6,-4.6,31.25,9496750080.0,1.01,17.81,104.91,3,2,1,2
1U1.DE,1&1 AG                        I,Telecom & Media,Germany,32.61,0.68,0.99,6.9,244.4,4.01,459942880.0,0.0,12.38,59.06,3,2,2,2
9503.T,KANSAI ELECTRIC POWER CO INC,Utilities,Japan,6.64,0.85,0.7,0.0,0.0,9.64,0.0,60.0,17.38,39.66,1,4,2,2
9502.T,CHUBU ELECTRIC POWER CO INC,Utilities,Japan,8.76,0.65,0.54,-7.5,79.4,6.63,0.0,65.0,23.82,54.42,1,4,1,2
9531.T,TOKYO GAS CO,Utilities,Japan,14.14,1.54,0.86,0.0,0.0,7.31,0.0,95.0,28.34,49.1,1,4,1,2
ENEL.MI,ENEL,Utilities,Europe,15.22,3.09,1.14,0.0,0.0,5.26,456624992.0,0.0,20.73,33.47,2,3,2,2
015760.KS,KEPCO,Utilities,South Korea,,,0.32,0.7,30.3,8.77,4298089431040.0,0.0,33.24,130.75,3,2,1,2
D,"Dominion Energy, Inc.",Utilities,US,17.11,1.86,3.16,20.4,365.5,18.16,-9005875200.0,2.67,1.4,13.9,2,2,3,2
RWE.DE,RWE AG                        I,Utilities,Germany,13.07,1.17,2.18,-42.3,0.0,17.05,-10805749760.0,1.2,58.48,81.06,1,4,1,2
ENR.DE,Siemens Energy AG             N,Utilities,Germany,65.47,10.69,3.02,8.2,240.5,4.76,3722500096.0,0.7,48.41,130.44,4,2,1,2
TEG.DE,TAG Immobilien AG             I,Real Estate,Germany,6.05,0.74,2.41,20.1,0.0,9.32,39483000.0,0.4,-11.2,4.32,1,2,4,2
8801.T,MITSUI FUDOSAN,Real Estate,Japan,16.13,1.56,1.69,22.2,22.4,11.08,0.0,33.0,11.8,38.14,2,2,2,2
8802.T,MITSUBISHI ESTATE CO,Real Estate,Japan,29.59,2.24,3.25,14.8,81.3,13.78,0.0,45.0,40.87,96.82,3,2,1,2
3289.T,TOKYU FUDOSAN HOLDINGS CORPORAT,Real Estate,Japan,9.43,1.17,0.81,0.0,0.0,7.57,0.0,41.5,11.97,39.71,1,4,2,2
URW.PA,UNIBAIL-RODAMCO-WESTFIELD,Real Estate,Europe,10.78,0.85,3.8,-3.8,638.3,35.75,1571837440.0,4.5,7.19,28.41,2,2,2,2
034020.KS,Doosan Enerbility,Energy & Ind.,South Korea,,,4.18,14.3,0.0,-0.61,34542227456.0,0.0,76.21,329.8,4,2,1,2
329180.KS,HD HYUNDAI HEAVY INDUSTRIES,Energy & Ind.,South Korea,,,3.58,22.4,496.7,7.88,4000203931648.0,0.0,11.66,88.34,4,1,2,2
S92.DE,SMA Solar Technology AG       I,Technology,Germany,,3.39,0.85,49.8,0.0,-18.5,301317248.0,0.0,81.61,78.96,3,2,1,2
UTDI.DE,UNITED INTERNET AG            N,Technology,Germany,37.26,1.03,0.74,0.0,0.0,2.05,266276496.0,0.4,-1.59,41.81,2,3,2,2
DRW3.DE,DRAEGERWERK VZO O.N.,Technology,Germany,13.3,1.04,0.47,7.6,0.0,3.54,134075624.0,2.03,30.38,48.89,1,3,1,2
JEN.DE,JENOPTIK AG                   N,Technology,Germany,20.96,1.47,1.35,-7.1,-19.6,6.89,72475376.0,0.38,46.1,7.76,1,4,2,2
NDX1.DE,Nordex SE                     I,Technology,Germany,40.21,8.41,1.42,15.8,746.1,3.63,683935488.0,0.0,117.21,178.94,3,1,1,2
9104.T,MITSUI O.S.K. LINES LTD,Energy & Ind.,Japan,8.34,0.89,1.33,13.8,-44.6,13.1,0.0,265.0,45.65,33.3,1,4,1,2
TTE.PA,TOTALENERGIES,Energy & Ind.,Europe,15.42,1.66,0.9,-2.5,-22.8,7.2,13514500096.0,3.99,51.64,38.93,2,4,1,2
